EmployeeID,Position,ExperienceYears,Degree,Field,Certification,ResearchPublications,University,Location,Salary
1,Lecturer,7,Master's,Science,None,47,University D,Suburban,68090
2,Research Scientist,36,Master's,Medicine,Certified,45,University A,Urban,113100
3,Professor,29,Bachelor's,Medicine,Certified,31,University D,Urban,134810
4,Research Scientist,24,Master's,Business,Certified,6,University B,Urban,95160
5,Research Scientist,39,Bachelor's,Arts,Certified,73,University D,Urban,115830
6,Associate Professor,4,PhD,Business,Advanced Certified,11,University A,Suburban,94820
7,Professor,29,Master's,Arts,Certified,54,University D,Suburban,124630
8,Professor,5,Master's,Science,Certified,22,University D,Urban,123370
9,Professor,29,Master's,Medicine,Advanced Certified,74,University A,Suburban,133430
10,Research Scientist,30,Master's,Business,Advanced Certified,51,University A,Rural,89200
11,Lecturer,29,Bachelor's,Science,Advanced Certified,12,University A,Rural,67900
12,Professor,26,Bachelor's,Science,Advanced Certified,75,University B,Rural,115000
13,Research Scientist,19,Bachelor's,Arts,Advanced Certified,70,University B,Rural,82500
14,Associate Professor,26,PhD,Medicine,Advanced Certified,52,University D,Rural,105400
15,Lecturer,37,Bachelor's,Arts,Advanced Certified,62,University B,Urban,106470
16,Associate Professor,27,Master's,Arts,Advanced Certified,73,University C,Suburban,110110
17,Lecturer,30,PhD,Science,Advanced Certified,70,University A,Urban,123500
18,Research Scientist,30,PhD,Arts,Advanced Certified,50,University C,Urban,128700
19,Assistant Professor,3,Master's,Engineering,Advanced Certified,57,University A,Urban,94770
20,Lecturer,7,Master's,Medicine,None,26,University D,Suburban,63470
21,Associate Professor,9,Master's,Arts,Certified,6,University A,Rural,73700
22,Research Scientist,13,Master's,Arts,Certified,49,University B,Urban,99190
23,Lecturer,15,Bachelor's,Business,Advanced Certified,23,University D,Suburban,69410
24,Assistant Professor,5,PhD,Medicine,Advanced Certified,86,University A,Urban,116610
25,Assistant Professor,29,Master's,Medicine,None,24,University D,Suburban,79530
26,Professor,35,Bachelor's,Arts,Advanced Certified,43,University D,Urban,147030
27,Professor,27,Master's,Engineering,None,35,University D,Rural,105500
28,Associate Professor,27,Bachelor's,Business,Certified,56,University C,Suburban,96470
29,Lecturer,8,Master's,Engineering,Certified,96,University B,Urban,97760
30,Lecturer,32,Master's,Arts,Advanced Certified,36,University D,Rural,79200
31,Professor,20,Master's,Medicine,None,51,University B,Rural,105200
32,Lecturer,10,Bachelor's,Medicine,None,62,University A,Suburban,67540
33,Lecturer,13,Master's,Engineering,Certified,6,University D,Rural,59700
34,Assistant Professor,29,Bachelor's,Science,Certified,93,University B,Suburban,92510
35,Professor,35,Bachelor's,Arts,None,59,University D,Suburban,120230
36,Research Scientist,8,PhD,Medicine,None,94,University C,Rural,89800
37,Professor,29,Bachelor's,Science,Certified,36,University A,Rural,104700
38,Research Scientist,31,Bachelor's,Medicine,None,20,University C,Suburban,78650
39,Assistant Professor,30,Bachelor's,Medicine,Certified,97,University D,Rural,85400
40,Associate Professor,22,Bachelor's,Science,None,45,University B,Suburban,88000
41,Lecturer,21,Bachelor's,Engineering,Advanced Certified,20,University D,Rural,65500
42,Assistant Professor,12,PhD,Arts,Certified,83,University D,Suburban,97460
43,Lecturer,11,Master's,Science,None,97,University D,Rural,73900
44,Associate Professor,2,PhD,Science,Certified,71,University C,Rural,93200
45,Associate Professor,2,PhD,Medicine,None,95,University C,Urban,123500
46,Assistant Professor,34,Master's,Science,Advanced Certified,51,University B,Urban,113360
47,Associate Professor,3,Bachelor's,Arts,Advanced Certified,93,University A,Suburban,95810
48,Research Scientist,16,Master's,Engineering,Advanced Certified,28,University A,Urban,100880
49,Associate Professor,4,Bachelor's,Engineering,Certified,68,University B,Urban,102180
50,Lecturer,23,Master's,Engineering,Advanced Certified,93,University D,Suburban,94710
51,Lecturer,20,PhD,Arts,Certified,75,University A,Rural,87000
52,Lecturer,25,Bachelor's,Medicine,Advanced Certified,38,University C,Rural,71100
53,Lecturer,30,PhD,Arts,Certified,26,University B,Suburban,90420
54,Research Scientist,18,Bachelor's,Science,Advanced Certified,76,University B,Urban,108160
55,Professor,11,Master's,Business,None,9,University D,Rural,92300
56,Assistant Professor,29,Master's,Business,None,35,University A,Urban,96850
57,Lecturer,17,Master's,Business,Certified,94,University A,Suburban,87230
58,Associate Professor,26,Master's,Engineering,Advanced Certified,15,University D,Urban,114400
59,Lecturer,23,Master's,Arts,Advanced Certified,35,University B,Suburban,81950
60,Associate Professor,20,PhD,Arts,None,89,University B,Suburban,113080
61,Associate Professor,2,PhD,Engineering,Advanced Certified,83,University B,Rural,99600
62,Lecturer,24,Bachelor's,Science,Advanced Certified,33,University B,Suburban,76560
63,Research Scientist,31,PhD,Business,Certified,36,University C,Rural,92700
64,Associate Professor,27,Bachelor's,Business,None,71,University C,Suburban,96470
65,Associate Professor,2,Bachelor's,Engineering,Advanced Certified,67,University B,Rural,81400
66,Lecturer,14,PhD,Business,Advanced Certified,58,University B,Urban,109980
67,Associate Professor,4,PhD,Medicine,Certified,28,University B,Suburban,94160
68,Associate Professor,13,Bachelor's,Arts,Certified,30,University C,Urban,98150
69,Lecturer,36,PhD,Business,Certified,65,University D,Suburban,102300
70,Lecturer,35,PhD,Business,Certified,88,University A,Suburban,106810
71,Assistant Professor,8,PhD,Medicine,Advanced Certified,2,University C,Suburban,81840
